date	Tree	Grass	"weed, garden"	ragweed	Weeds	cattail_sedge	grass_harm	weed_harm	unknown	Spore
3/20/2000	1	0	0	0	0		0	0	0	0
3/21/2000	1	0	0	0	0		0	0	0	0
3/22/2000	5	0	0	0	0		0	0	0	0
3/23/2000	24	0	0	0	0		0	0	0	1002
3/24/2000	188	0	0	0	0		0	0	0	2513
3/25/2000	122.5	0	0	0	0	0	0	0	0	2218.5
3/26/2000	122.5	0	0	0	0	0	0	0	0	2218.5
3/27/2000	57	0	0	0	0		0	0	0	1924
3/28/2000	128	0	0	0	0		0	0	0	317
3/29/2000	22	0	0	0	0		0	0	0	88
3/30/2000	22	0	0	0	0		0	0	0	213
3/31/2000	22	0	0	0	0		0	0	0	574
4/1/2000	46	0	0	0	0	0	0	0	0	685
4/2/2000	46	0	0	0	0	0	0	0	0	685
4/3/2000	70	0	0	0	0		0	0	0	796
4/4/2000	96	0	0	0	0		0	0	0	663
4/5/2000	43	0	0	0	0		0	0	0	377
4/6/2000	59	0	0	0	0		0	0	0	877
4/7/2000	62	0	0	0	0		0	0	0	1386
4/8/2000	45.5	0	0	0	0	0	0	0	0	833.5
4/9/2000	45.5	0	0	0	0	0	0	0	0	833.5
4/10/2000	29	0	0	0	0		0	0	0	281
4/11/2000	41	0	0	0	0		0	0	0	140
4/12/2000	12	0	0	0	0		0	0	0	177
4/13/2000	34	0	0	0	0		0	0	0	206
4/14/2000	44	0	0	0	0		0	0	0	884
4/15/2000	23.05	0	0	0	0	0	0	0	0	442
4/16/2000	23.05	0	0	0	0	0	0	0	0	442
4/17/2000	2.1	0	0	0	0		0	0	0	0
4/18/2000	7.1	0	0	0	0		0	0	0	566
4/19/2000	84	0	0	0	0		0	0	0	2160
4/20/2000	14	0	0	0	0		0	0	0	914
4/21/2000	17	0	0	0	0		0	0	0	275
4/22/2000	87	0	0	0	0	0	0	0	0	605.5
4/23/2000	87	0	0	0	0	0	0	0	0	605.5
4/24/2000	157	0	0	0	0		0	0	0	936
4/25/2000	205	0	0	0	0		0	0	0	390
4/26/2000	622	0	0	0	0		0	0	0	501
4/27/2000	764	0	0	0	0		0	0	17	945
4/28/2000	969	0	0	0	0		0	0	6	664
4/29/2000	737	0	0	0	0	0	0	0	12	1227.5
4/30/2000	737	0	0	0	0	0	0	0	12	1227.5
5/1/2000	505	0	0	0	0		0	0	18	1791
5/2/2000	317	0	0	0	0		0	0	21	3922
5/3/2000	604	0	0	0	0		0	0	43	971
5/4/2000	582	0	0	0	0		0	0	61	405
5/5/2000	701	0	0	0	0		0	0	104	3133
5/6/2000	360.5	0	0	0	0	0	0	0	57.5	2915
5/7/2000	360.5	0	0	0	0	0	0	0	57.5	2915
5/8/2000	20	0	0	0	0		0	0	11	2697
5/9/2000	342	4	0	0	0		4	0	23	4481
5/10/2000	248	0	0	0	0		0	0	31	3390
5/11/2000	121	0	0	0	0		0	0	29	2763
5/12/2000	3	0	0	0	0		0	0	4	1464
5/13/2000	17	1	0	0	0	0	1	0	11.5	1679
5/14/2000	17	1	0	0	0	0	1	0	11.5	1679
5/15/2000	31	2	0	0	0		2	0	19	1894
5/16/2000	11	3	0	0	0		3	0	8	979
5/17/2000	33	5	0	0	0		5	0	7	3226
5/18/2000	39	2	0	0	0		2	0	17	3271
5/19/2000	431	5	0	0	0		5	0	41	1400
5/20/2000	225.5	4.5	0	0	0	0	4.5	0	23	1834.5
5/21/2000	225.5	4.5	0	0	0	0	4.5	0	23	1834.5
5/22/2000	20	4	0	0	0		4	0	5	2269
5/23/2000	30.1	7	0	0	0		7	0	6	1445
5/24/2000	17	5	0	0	0		5	0	6	2158
5/25/2000	21	4	0	0	0		4	0	6	641
5/26/2000	22.1	10	0	0	0		10	0	4	1173
5/27/2000	13.1	5.5	0	0	0	0	5.5	0	2.5	3420
5/28/2000	13.1	5.5	0	0	0	0	5.5	0	2.5	3420
5/29/2000	4.1	1	0	0	0		1	0	1	5667
5/30/2000	2	1	0	0	0		1	0	1	5373
5/31/2000	9	3	0	0	0		3	0	1	5504
6/1/2000	36	11	0	0	0		11	0	5	13574
6/2/2000	4	7	0	0	0		7	0	4	6839
6/3/2000	5	3.55	0	0	0	0	3.55	0	2	7332.5
6/4/2000	5	3.55	0	0	0	0	3.55	0	2	7332.5
6/5/2000	6	0.1	0	0	0		0.1	0	0	7826
6/6/2000	16	3	0	0	0		3	0	6	5697
6/7/2000	6	12	0	0	0		12	0	5	2633
6/8/2000	5	17	0	0	0		17	0	5	3272
6/9/2000	3	10	0	0	0		10	0	5	2084
6/10/2000	3.5	12	0	0	0	0	12	0	5	2560
6/11/2000	3.5	12	0	0	0	0	12	0	5	2560
6/12/2000	4	14	0	0	0		14	0	5	3036
6/13/2000	3	16	0	0	0		16	0	2	3301
6/14/2000	1	11	0	0	0		11	0	3	5055
6/15/2000	0	31	0	0	0		31	0	44	7659
6/16/2000	0.1	3	0	0	0		3	0	16	6184
6/17/2000	0.1	9	0	0	0	0	9	0	10.5	4599.5
6/18/2000	0.1	9	0	0	0	0	9	0	10.5	4599.5
6/19/2000	0.1	15	0	0	0		15	0	5	3015
6/20/2000	0.1	31	0	0	0		31	0	17	3154
6/21/2000	1	119	0	0	0		119	0	18	4917
6/22/2000	1	147	0	0	0		147	0	9	4223
6/23/2000	0	14	0	0	0		14	0	5	3154
6/24/2000	0	22.5	0.05	0	0.05	12.5	10	12.55	5.5	4253
6/25/2000	0	22.5	0.05	0	0.05	12.5	10	12.55	5.5	4253
6/26/2000	0	31	0.1	0	0.1	25	6	25.1	6	5352
6/27/2000	0	125	0	0	0	74	51	74	6	9779
6/28/2000	0	40	0.1	0	0.1	30	10	30.1	3	2726
6/29/2000	0	49	0	0	0	45	4	45	4	3391
6/30/2000	3	48	0	0	0	34	14	34	4	2799
